id,from,subject,body,expected_priority
603,sender3@example.com,Feedback needed on the proposal,We have a draft proposal ready for your review. Let us know your thoughts when you get a chance.,MEDIUM
604,sender4@example.com,Timesheet reminder,Please submit your timesheet before end of Friday. Contact HR if you have any questions.,MEDIUM
605,sender5@example.com,Performance review next week,Your annual review is scheduled for Thursday at 2pm. Please prepare your self assessment.,MEDIUM
606,sender6@example.com,Vendor quotation for review,Please find attached our updated quotation for the services you requested. Let us know if changes needed.,MEDIUM
607,sender7@example.com,Draft designs ready for review,First draft of website designs are ready. Would love your feedback before we move to next phase.,MEDIUM
608,sender8@example.com,Documents needed for tax filing,To complete your tax filing we need Q3 bank statements and expense reports by next Wednesday.,MEDIUM
609,sender9@example.com,Reschedule our sync,Something came up. Can we move our Friday sync to Monday instead? Let me know what works.,MEDIUM
610,sender10@example.com,New team member joining Monday,New developer joining the team on Monday. Please make them feel welcome and help with onboarding.,MEDIUM
611,sender11@example.com,Conference room booking confirmed,Conference room B is booked for your team meeting on Wednesday from 2pm to 4pm.,MEDIUM
612,sender12@example.com,Sprint planning this Monday,Just a reminder that sprint planning is this Monday at 9am. Please review the backlog and come prepared.,MEDIUM
613,sender13@example.com,Software license renewal needed,Several software licenses expiring next month. Please confirm which tools your team still needs.,MEDIUM
614,sender14@example.com,Q3 targets review call,Would like to schedule call to review Q3 sales targets and discuss strategy. Are you free Thursday?,MEDIUM
615,sender15@example.com,Co-working space next week,A few of us planning to work from downtown co-working space next Tuesday. Would you like to join?,MEDIUM
616,sender16@example.com,Brand guidelines updated,Brand guidelines updated with new colors and font specifications. Please review before your next project.,MEDIUM
617,sender17@example.com,Interview scheduled for Thursday,Interview with the candidate confirmed for Thursday at 2pm. Interview brief has been shared with you.,MEDIUM
618,sender18@example.com,Book recommendation,Just finished an amazing book on system design. Thought you might enjoy it given your interest.,MEDIUM
619,sender19@example.com,Open enrollment reminder,Open enrollment for health benefits closes this Friday. Log into HR portal to review your selections.,MEDIUM
620,sender20@example.com,Thoughts on the new process,Wanted to get your feedback on the new workflow we introduced last week. What is working well?,MEDIUM
621,sender21@example.com,Milestone review tomorrow,Just a reminder we have the milestone review call tomorrow at 3pm. Please have progress update ready.,MEDIUM
622,sender22@example.com,Coffee chat this week,New to the team and trying to meet everyone. Would you be up for a quick virtual coffee chat?,MEDIUM
623,sender23@example.com,Parking policy update,Parking policy has been updated. All staff must register their vehicles by end of this month.,MEDIUM
624,sender24@example.com,Fire drill this Thursday,We will be conducting a fire drill this Thursday at 11am. Please ensure all team members are aware.,MEDIUM
625,sender25@example.com,Expense report reminder,Please submit expense reports for last month by this Wednesday. Late submissions delay reimbursement.,MEDIUM
626,sender26@example.com,Scheduled maintenance this weekend,Performing scheduled maintenance Sunday from 2am to 6am. Some services temporarily unavailable.,MEDIUM
627,sender27@example.com,Kickoff meeting next Monday,Project kickoff meeting scheduled for next Monday at 10am. Please come prepared with initial estimates.,MEDIUM
628,sender28@example.com,Updated org chart,Updated organizational chart reflecting recent team changes shared in company drive. Please review.,MEDIUM
629,sender29@example.com,Checking in on your goals,Just wanted to check in and see how you are progressing with your quarterly goals. Happy to chat.,MEDIUM
630,sender30@example.com,Birthday celebration for Sarah,Collecting for birthday gift for Sarah. If you would like to contribute please bring $10 by Thursday.,MEDIUM
631,sender31@example.com,Service plan renewal coming up,Your current service plan renews in 30 days. Would love to discuss your needs and explore options.,MEDIUM
632,sender32@example.com,New benefits package overview,Excited to share details about our updated benefits package. Please review and ask any questions.,MEDIUM
633,sender33@example.com,Question about deployment process,Bit confused about our current deployment workflow. Could you walk me through it when you have time?,MEDIUM
634,sender34@example.com,Feedback on last week presentation,Wanted to share some thoughts on your presentation last week. Overall great job with few areas to polish.,MEDIUM
635,sender35@example.com,Onboarding checklist for new hire,Please complete the onboarding checklist for new team member joining next week. Takes about an hour.,MEDIUM
636,sender36@example.com,Scheduled maintenance visit next week,Our technician will visit your office next Tuesday between 9am and 12pm for annual equipment check.,MEDIUM
637,sender37@example.com,Async update on the feature,Just dropping an async update on the feature I am working on. Making good progress and on track.,MEDIUM
638,sender38@example.com,Training session next week,Mandatory training session on new compliance procedures next Tuesday at 10am. Please confirm attendance.,MEDIUM
639,sender39@example.com,Can you cover my shift,Have a doctor appointment Thursday morning. Is there any chance you could cover the 9am standup?,MEDIUM
640,sender40@example.com,Product demo this week,Would love to show you our new platform features. Available for 45 minute demo this Thursday or Friday?,MEDIUM
641,sender41@example.com,Lunch plans for Friday,A few of us going out for lunch on Friday. Would you like to join us? We are thinking Italian.,MEDIUM
642,sender42@example.com,Team outing next month,Planning a team outing next month. Please fill out the poll to vote for preferred activity and date.,MEDIUM
643,sender43@example.com,Colleague introduction,New to the company and wanted to introduce myself. Would love to grab coffee and learn about your work.,MEDIUM
644,sender44@example.com,Office supplies order needed,Running low on printer paper and coffee pods. Can someone place an order before end of the week?,MEDIUM
645,sender45@example.com,Laptop replacement request,Work laptop running very slowly and crashing occasionally. Can I submit a request for replacement?,MEDIUM
646,sender46@example.com,Budget approval needed,Q4 budget proposal ready for your review and approval. Please sign off by Thursday so we can proceed.,MEDIUM
647,sender47@example.com,Contract review requested,Received new vendor contract that needs legal review before signing. Can your team take a look this week?,MEDIUM
648,sender48@example.com,Content calendar for next month,Drafted content calendar for next month. Can you review and let me know if any changes are needed?,MEDIUM
649,sender49@example.com,Code review requested,Opened a pull request for the new feature. Would appreciate your review when you get a chance. No rush.,MEDIUM
650,sender50@example.com,New lead needs follow up,Warm lead from conference last week. Can someone from the team reach out to them this week?,MEDIUM
651,sender51@example.com,Visitor parking arrangements,Clients visiting on Wednesday. Can you arrange visitor parking passes and inform reception in advance?,MEDIUM
652,sender52@example.com,Policy document for review,Please review attached updated leave policy document and confirm you have read and understood the changes.,MEDIUM
653,sender53@example.com,Sales report for this quarter,Quarterly sales report is ready. Would love to schedule a time to walk you through the highlights.,MEDIUM
654,sender54@example.com,Reminder about team survey,Just a reminder to complete the quarterly employee satisfaction survey before end of this week.,MEDIUM
655,sender55@example.com,Vendor meeting next week,Scheduled a vendor meeting for next Wednesday at 2pm. Please review the vendor proposal beforehand.,MEDIUM
656,sender56@example.com,Update on hiring process,Wanted to give you an update on the hiring process for the senior developer role. Shortlisted 3 candidates.,MEDIUM
657,sender57@example.com,Request for additional resources,Project scope has grown and we may need one additional developer. Can we discuss this in our next sync?,MEDIUM
658,sender58@example.com,Annual compliance training due,Annual compliance training is due by end of this month. Please complete it through the learning portal.,MEDIUM
659,sender59@example.com,Request to join the project,Heard about the new AI project and would love to contribute. Can we discuss how I might get involved?,MEDIUM
660,sender60@example.com,Travel approval for conference,Requesting travel approval to attend the annual tech conference next month. Details attached for review.,MEDIUM
661,sender61@example.com,Feedback requested on roadmap,Product roadmap for next quarter is ready for review. Would love your input before we finalize it.,MEDIUM
662,sender62@example.com,Reminder to update documentation,Several sections of our technical documentation are outdated. Can you update them before end of month?,MEDIUM
663,sender63@example.com,Can we schedule a call this week,Hi hope you are doing well. Wanted to connect and discuss potential collaboration. Free for 30 min call?,MEDIUM
664,sender64@example.com,Quick project status update,Can you give me a brief update on the project? Nothing urgent just want to stay informed.,MEDIUM
665,sender65@example.com,Feedback needed on the proposal,We have a draft proposal ready for your review. Let us know your thoughts when you get a chance.,MEDIUM
666,sender66@example.com,Timesheet reminder,Please submit your timesheet before end of Friday. Contact HR if you have any questions.,MEDIUM
667,sender67@example.com,Performance review next week,Your annual review is scheduled for Thursday at 2pm. Please prepare your self assessment.,MEDIUM
668,sender68@example.com,Vendor quotation for review,Please find attached our updated quotation for the services you requested. Let us know if changes needed.,MEDIUM
669,sender69@example.com,Draft designs ready for review,First draft of website designs are ready. Would love your feedback before we move to next phase.,MEDIUM
670,sender70@example.com,Documents needed for tax filing,To complete your tax filing we need Q3 bank statements and expense reports by next Wednesday.,MEDIUM
671,sender71@example.com,Reschedule our sync,Something came up. Can we move our Friday sync to Monday instead? Let me know what works.,MEDIUM
672,sender72@example.com,New team member joining Monday,New developer joining the team on Monday. Please make them feel welcome and help with onboarding.,MEDIUM
673,sender73@example.com,Conference room booking confirmed,Conference room B is booked for your team meeting on Wednesday from 2pm to 4pm.,MEDIUM
674,sender74@example.com,Sprint planning this Monday,Just a reminder that sprint planning is this Monday at 9am. Please review the backlog and come prepared.,MEDIUM
675,sender75@example.com,Software license renewal needed,Several software licenses expiring next month. Please confirm which tools your team still needs.,MEDIUM
676,sender76@example.com,Q3 targets review call,Would like to schedule call to review Q3 sales targets and discuss strategy. Are you free Thursday?,MEDIUM
677,sender77@example.com,Co-working space next week,A few of us planning to work from downtown co-working space next Tuesday. Would you like to join?,MEDIUM
678,sender78@example.com,Brand guidelines updated,Brand guidelines updated with new colors and font specifications. Please review before your next project.,MEDIUM
679,sender79@example.com,Interview scheduled for Thursday,Interview with the candidate confirmed for Thursday at 2pm. Interview brief has been shared with you.,MEDIUM
680,sender80@example.com,Book recommendation,Just finished an amazing book on system design. Thought you might enjoy it given your interest.,MEDIUM
681,sender81@example.com,Open enrollment reminder,Open enrollment for health benefits closes this Friday. Log into HR portal to review your selections.,MEDIUM
682,sender82@example.com,Thoughts on the new process,Wanted to get your feedback on the new workflow we introduced last week. What is working well?,MEDIUM
683,sender83@example.com,Milestone review tomorrow,Just a reminder we have the milestone review call tomorrow at 3pm. Please have progress update ready.,MEDIUM
684,sender84@example.com,Coffee chat this week,New to the team and trying to meet everyone. Would you be up for a quick virtual coffee chat?,MEDIUM
685,sender85@example.com,Parking policy update,Parking policy has been updated. All staff must register their vehicles by end of this month.,MEDIUM
686,sender86@example.com,Fire drill this Thursday,We will be conducting a fire drill this Thursday at 11am. Please ensure all team members are aware.,MEDIUM
687,sender87@example.com,Expense report reminder,Please submit expense reports for last month by this Wednesday. Late submissions delay reimbursement.,MEDIUM
688,sender88@example.com,Scheduled maintenance this weekend,Performing scheduled maintenance Sunday from 2am to 6am. Some services temporarily unavailable.,MEDIUM
689,sender89@example.com,Kickoff meeting next Monday,Project kickoff meeting scheduled for next Monday at 10am. Please come prepared with initial estimates.,MEDIUM
690,sender90@example.com,Updated org chart,Updated organizational chart reflecting recent team changes shared in company drive. Please review.,MEDIUM
691,sender91@example.com,Checking in on your goals,Just wanted to check in and see how you are progressing with your quarterly goals. Happy to chat.,MEDIUM
692,sender92@example.com,Birthday celebration for Sarah,Collecting for birthday gift for Sarah. If you would like to contribute please bring $10 by Thursday.,MEDIUM
693,sender93@example.com,Service plan renewal coming up,Your current service plan renews in 30 days. Would love to discuss your needs and explore options.,MEDIUM
694,sender94@example.com,New benefits package overview,Excited to share details about our updated benefits package. Please review and ask any questions.,MEDIUM
695,sender95@example.com,Question about deployment process,Bit confused about our current deployment workflow. Could you walk me through it when you have time?,MEDIUM
696,sender96@example.com,Feedback on last week presentation,Wanted to share some thoughts on your presentation last week. Overall great job with few areas to polish.,MEDIUM
697,sender97@example.com,Onboarding checklist for new hire,Please complete the onboarding checklist for new team member joining next week. Takes about an hour.,MEDIUM
698,sender98@example.com,Scheduled maintenance visit next week,Our technician will visit your office next Tuesday between 9am and 12pm for annual equipment check.,MEDIUM
699,sender99@example.com,Async update on the feature,Just dropping an async update on the feature I am working on. Making good progress and on track.,MEDIUM
700,sender100@example.com,Training session next week,Mandatory training session on new compliance procedures next Tuesday at 10am. Please confirm attendance.,MEDIUM
701,sender101@example.com,Can you cover my shift,Have a doctor appointment Thursday morning. Is there any chance you could cover the 9am standup?,MEDIUM
702,sender102@example.com,Product demo this week,Would love to show you our new platform features. Available for 45 minute demo this Thursday or Friday?,MEDIUM
703,sender103@example.com,Lunch plans for Friday,A few of us going out for lunch on Friday. Would you like to join us? We are thinking Italian.,MEDIUM
704,sender104@example.com,Team outing next month,Planning a team outing next month. Please fill out the poll to vote for preferred activity and date.,MEDIUM
705,sender105@example.com,Colleague introduction,New to the company and wanted to introduce myself. Would love to grab coffee and learn about your work.,MEDIUM
706,sender106@example.com,Office supplies order needed,Running low on printer paper and coffee pods. Can someone place an order before end of the week?,MEDIUM
707,sender107@example.com,Laptop replacement request,Work laptop running very slowly and crashing occasionally. Can I submit a request for replacement?,MEDIUM
708,sender108@example.com,Budget approval needed,Q4 budget proposal ready for your review and approval. Please sign off by Thursday so we can proceed.,MEDIUM
709,sender109@example.com,Contract review requested,Received new vendor contract that needs legal review before signing. Can your team take a look this week?,MEDIUM
710,sender110@example.com,Content calendar for next month,Drafted content calendar for next month. Can you review and let me know if any changes are needed?,MEDIUM
711,sender111@example.com,Code review requested,Opened a pull request for the new feature. Would appreciate your review when you get a chance. No rush.,MEDIUM
712,sender112@example.com,New lead needs follow up,Warm lead from conference last week. Can someone from the team reach out to them this week?,MEDIUM
713,sender113@example.com,Visitor parking arrangements,Clients visiting on Wednesday. Can you arrange visitor parking passes and inform reception in advance?,MEDIUM
714,sender114@example.com,Policy document for review,Please review attached updated leave policy document and confirm you have read and understood the changes.,MEDIUM
715,sender115@example.com,Sales report for this quarter,Quarterly sales report is ready. Would love to schedule a time to walk you through the highlights.,MEDIUM
716,sender116@example.com,Reminder about team survey,Just a reminder to complete the quarterly employee satisfaction survey before end of this week.,MEDIUM
717,sender117@example.com,Vendor meeting next week,Scheduled a vendor meeting for next Wednesday at 2pm. Please review the vendor proposal beforehand.,MEDIUM
718,sender118@example.com,Update on hiring process,Wanted to give you an update on the hiring process for the senior developer role. Shortlisted 3 candidates.,MEDIUM
719,sender119@example.com,Request for additional resources,Project scope has grown and we may need one additional developer. Can we discuss this in our next sync?,MEDIUM
720,sender120@example.com,Annual compliance training due,Annual compliance training is due by end of this month. Please complete it through the learning portal.,MEDIUM
721,sender121@example.com,Request to join the project,Heard about the new AI project and would love to contribute. Can we discuss how I might get involved?,MEDIUM
722,sender122@example.com,Travel approval for conference,Requesting travel approval to attend the annual tech conference next month. Details attached for review.,MEDIUM
723,sender123@example.com,Feedback requested on roadmap,Product roadmap for next quarter is ready for review. Would love your input before we finalize it.,MEDIUM
724,sender124@example.com,Reminder to update documentation,Several sections of our technical documentation are outdated. Can you update them before end of month?,MEDIUM
725,sender125@example.com,Can we schedule a call this week,Hi hope you are doing well. Wanted to connect and discuss potential collaboration. Free for 30 min call?,MEDIUM
726,sender126@example.com,Quick project status update,Can you give me a brief update on the project? Nothing urgent just want to stay informed.,MEDIUM
727,sender127@example.com,Feedback needed on the proposal,We have a draft proposal ready for your review. Let us know your thoughts when you get a chance.,MEDIUM
728,sender128@example.com,Timesheet reminder,Please submit your timesheet before end of Friday. Contact HR if you have any questions.,MEDIUM
729,sender129@example.com,Performance review next week,Your annual review is scheduled for Thursday at 2pm. Please prepare your self assessment.,MEDIUM
730,sender130@example.com,Vendor quotation for review,Please find attached our updated quotation for the services you requested. Let us know if changes needed.,MEDIUM
731,sender131@example.com,Draft designs ready for review,First draft of website designs are ready. Would love your feedback before we move to next phase.,MEDIUM
732,sender132@example.com,Documents needed for tax filing,To complete your tax filing we need Q3 bank statements and expense reports by next Wednesday.,MEDIUM
733,sender133@example.com,Reschedule our sync,Something came up. Can we move our Friday sync to Monday instead? Let me know what works.,MEDIUM
734,sender134@example.com,New team member joining Monday,New developer joining the team on Monday. Please make them feel welcome and help with onboarding.,MEDIUM
735,sender135@example.com,Conference room booking confirmed,Conference room B is booked for your team meeting on Wednesday from 2pm to 4pm.,MEDIUM
736,sender136@example.com,Sprint planning this Monday,Just a reminder that sprint planning is this Monday at 9am. Please review the backlog and come prepared.,MEDIUM
737,sender137@example.com,Software license renewal needed,Several software licenses expiring next month. Please confirm which tools your team still needs.,MEDIUM
738,sender138@example.com,Q3 targets review call,Would like to schedule call to review Q3 sales targets and discuss strategy. Are you free Thursday?,MEDIUM
739,sender139@example.com,Co-working space next week,A few of us planning to work from downtown co-working space next Tuesday. Would you like to join?,MEDIUM
740,sender140@example.com,Brand guidelines updated,Brand guidelines updated with new colors and font specifications. Please review before your next project.,MEDIUM
741,sender141@example.com,Interview scheduled for Thursday,Interview with the candidate confirmed for Thursday at 2pm. Interview brief has been shared with you.,MEDIUM
742,sender142@example.com,Book recommendation,Just finished an amazing book on system design. Thought you might enjoy it given your interest.,MEDIUM
743,sender143@example.com,Open enrollment reminder,Open enrollment for health benefits closes this Friday. Log into HR portal to review your selections.,MEDIUM
744,sender144@example.com,Thoughts on the new process,Wanted to get your feedback on the new workflow we introduced last week. What is working well?,MEDIUM
745,sender145@example.com,Milestone review tomorrow,Just a reminder we have the milestone review call tomorrow at 3pm. Please have progress update ready.,MEDIUM
746,sender146@example.com,Coffee chat this week,New to the team and trying to meet everyone. Would you be up for a quick virtual coffee chat?,MEDIUM
747,sender147@example.com,Parking policy update,Parking policy has been updated. All staff must register their vehicles by end of this month.,MEDIUM
748,sender148@example.com,Fire drill this Thursday,We will be conducting a fire drill this Thursday at 11am. Please ensure all team members are aware.,MEDIUM
749,sender149@example.com,Expense report reminder,Please submit expense reports for last month by this Wednesday. Late submissions delay reimbursement.,MEDIUM
750,sender150@example.com,Scheduled maintenance this weekend,Performing scheduled maintenance Sunday from 2am to 6am. Some services temporarily unavailable.,MEDIUM
751,sender151@example.com,Kickoff meeting next Monday,Project kickoff meeting scheduled for next Monday at 10am. Please come prepared with initial estimates.,MEDIUM
752,sender152@example.com,Updated org chart,Updated organizational chart reflecting recent team changes shared in company drive. Please review.,MEDIUM
753,sender153@example.com,Checking in on your goals,Just wanted to check in and see how you are progressing with your quarterly goals. Happy to chat.,MEDIUM
754,sender154@example.com,Birthday celebration for Sarah,Collecting for birthday gift for Sarah. If you would like to contribute please bring $10 by Thursday.,MEDIUM
755,sender155@example.com,Service plan renewal coming up,Your current service plan renews in 30 days. Would love to discuss your needs and explore options.,MEDIUM
756,sender156@example.com,New benefits package overview,Excited to share details about our updated benefits package. Please review and ask any questions.,MEDIUM
757,sender157@example.com,Question about deployment process,Bit confused about our current deployment workflow. Could you walk me through it when you have time?,MEDIUM
758,sender158@example.com,Feedback on last week presentation,Wanted to share some thoughts on your presentation last week. Overall great job with few areas to polish.,MEDIUM
759,sender159@example.com,Onboarding checklist for new hire,Please complete the onboarding checklist for new team member joining next week. Takes about an hour.,MEDIUM
760,sender160@example.com,Scheduled maintenance visit next week,Our technician will visit your office next Tuesday between 9am and 12pm for annual equipment check.,MEDIUM
761,sender161@example.com,Async update on the feature,Just dropping an async update on the feature I am working on. Making good progress and on track.,MEDIUM
762,sender162@example.com,Training session next week,Mandatory training session on new compliance procedures next Tuesday at 10am. Please confirm attendance.,MEDIUM
763,sender163@example.com,Can you cover my shift,Have a doctor appointment Thursday morning. Is there any chance you could cover the 9am standup?,MEDIUM
764,sender164@example.com,Product demo this week,Would love to show you our new platform features. Available for 45 minute demo this Thursday or Friday?,MEDIUM
765,sender165@example.com,Lunch plans for Friday,A few of us going out for lunch on Friday. Would you like to join us? We are thinking Italian.,MEDIUM
766,sender166@example.com,Team outing next month,Planning a team outing next month. Please fill out the poll to vote for preferred activity and date.,MEDIUM
767,sender167@example.com,Colleague introduction,New to the company and wanted to introduce myself. Would love to grab coffee and learn about your work.,MEDIUM
768,sender168@example.com,Office supplies order needed,Running low on printer paper and coffee pods. Can someone place an order before end of the week?,MEDIUM
769,sender169@example.com,Laptop replacement request,Work laptop running very slowly and crashing occasionally. Can I submit a request for replacement?,MEDIUM
770,sender170@example.com,Budget approval needed,Q4 budget proposal ready for your review and approval. Please sign off by Thursday so we can proceed.,MEDIUM
771,sender171@example.com,Contract review requested,Received new vendor contract that needs legal review before signing. Can your team take a look this week?,MEDIUM
772,sender172@example.com,Content calendar for next month,Drafted content calendar for next month. Can you review and let me know if any changes are needed?,MEDIUM
773,sender173@example.com,Code review requested,Opened a pull request for the new feature. Would appreciate your review when you get a chance. No rush.,MEDIUM
774,sender174@example.com,New lead needs follow up,Warm lead from conference last week. Can someone from the team reach out to them this week?,MEDIUM
775,sender175@example.com,Visitor parking arrangements,Clients visiting on Wednesday. Can you arrange visitor parking passes and inform reception in advance?,MEDIUM
776,sender176@example.com,Policy document for review,Please review attached updated leave policy document and confirm you have read and understood the changes.,MEDIUM
777,sender177@example.com,Sales report for this quarter,Quarterly sales report is ready. Would love to schedule a time to walk you through the highlights.,MEDIUM
778,sender178@example.com,Reminder about team survey,Just a reminder to complete the quarterly employee satisfaction survey before end of this week.,MEDIUM
779,sender179@example.com,Vendor meeting next week,Scheduled a vendor meeting for next Wednesday at 2pm. Please review the vendor proposal beforehand.,MEDIUM
780,sender180@example.com,Update on hiring process,Wanted to give you an update on the hiring process for the senior developer role. Shortlisted 3 candidates.,MEDIUM
781,sender181@example.com,Request for additional resources,Project scope has grown and we may need one additional developer. Can we discuss this in our next sync?,MEDIUM
782,sender182@example.com,Annual compliance training due,Annual compliance training is due by end of this month. Please complete it through the learning portal.,MEDIUM
783,sender183@example.com,Request to join the project,Heard about the new AI project and would love to contribute. Can we discuss how I might get involved?,MEDIUM
784,sender184@example.com,Travel approval for conference,Requesting travel approval to attend the annual tech conference next month. Details attached for review.,MEDIUM
785,sender185@example.com,Feedback requested on roadmap,Product roadmap for next quarter is ready for review. Would love your input before we finalize it.,MEDIUM
786,sender186@example.com,Reminder to update documentation,Several sections of our technical documentation are outdated. Can you update them before end of month?,MEDIUM
787,sender187@example.com,Can we schedule a call this week,Hi hope you are doing well. Wanted to connect and discuss potential collaboration. Free for 30 min call?,MEDIUM
788,sender188@example.com,Quick project status update,Can you give me a brief update on the project? Nothing urgent just want to stay informed.,MEDIUM
789,sender189@example.com,Feedback needed on the proposal,We have a draft proposal ready for your review. Let us know your thoughts when you get a chance.,MEDIUM
790,sender190@example.com,Timesheet reminder,Please submit your timesheet before end of Friday. Contact HR if you have any questions.,MEDIUM
791,sender191@example.com,Performance review next week,Your annual review is scheduled for Thursday at 2pm. Please prepare your self assessment.,MEDIUM
792,sender192@example.com,Vendor quotation for review,Please find attached our updated quotation for the services you requested. Let us know if changes needed.,MEDIUM
793,sender193@example.com,Draft designs ready for review,First draft of website designs are ready. Would love your feedback before we move to next phase.,MEDIUM
794,sender194@example.com,Documents needed for tax filing,To complete your tax filing we need Q3 bank statements and expense reports by next Wednesday.,MEDIUM
795,sender195@example.com,Reschedule our sync,Something came up. Can we move our Friday sync to Monday instead? Let me know what works.,MEDIUM
796,sender196@example.com,New team member joining Monday,New developer joining the team on Monday. Please make them feel welcome and help with onboarding.,MEDIUM
797,sender197@example.com,Conference room booking confirmed,Conference room B is booked for your team meeting on Wednesday from 2pm to 4pm.,MEDIUM
798,sender198@example.com,Sprint planning this Monday,Just a reminder that sprint planning is this Monday at 9am. Please review the backlog and come prepared.,MEDIUM
799,sender199@example.com,Software license renewal needed,Several software licenses expiring next month. Please confirm which tools your team still needs.,MEDIUM
800,sender200@example.com,Q3 targets review call,Would like to schedule call to review Q3 sales targets and discuss strategy. Are you free Thursday?,MEDIUM
801,sender201@example.com,Co-working space next week,A few of us planning to work from downtown co-working space next Tuesday. Would you like to join?,MEDIUM
802,sender202@example.com,Brand guidelines updated,Brand guidelines updated with new colors and font specifications. Please review before your next project.,MEDIUM
803,sender203@example.com,Interview scheduled for Thursday,Interview with the candidate confirmed for Thursday at 2pm. Interview brief has been shared with you.,MEDIUM
804,sender204@example.com,Book recommendation,Just finished an amazing book on system design. Thought you might enjoy it given your interest.,MEDIUM
805,sender205@example.com,Open enrollment reminder,Open enrollment for health benefits closes this Friday. Log into HR portal to review your selections.,MEDIUM
806,sender206@example.com,Thoughts on the new process,Wanted to get your feedback on the new workflow we introduced last week. What is working well?,MEDIUM
807,sender207@example.com,Milestone review tomorrow,Just a reminder we have the milestone review call tomorrow at 3pm. Please have progress update ready.,MEDIUM
808,sender208@example.com,Coffee chat this week,New to the team and trying to meet everyone. Would you be up for a quick virtual coffee chat?,MEDIUM
809,sender209@example.com,Parking policy update,Parking policy has been updated. All staff must register their vehicles by end of this month.,MEDIUM
810,sender210@example.com,Fire drill this Thursday,We will be conducting a fire drill this Thursday at 11am. Please ensure all team members are aware.,MEDIUM
811,sender211@example.com,Expense report reminder,Please submit expense reports for last month by this Wednesday. Late submissions delay reimbursement.,MEDIUM
812,sender212@example.com,Scheduled maintenance this weekend,Performing scheduled maintenance Sunday from 2am to 6am. Some services temporarily unavailable.,MEDIUM
813,sender213@example.com,Kickoff meeting next Monday,Project kickoff meeting scheduled for next Monday at 10am. Please come prepared with initial estimates.,MEDIUM
814,sender214@example.com,Updated org chart,Updated organizational chart reflecting recent team changes shared in company drive. Please review.,MEDIUM
815,sender215@example.com,Checking in on your goals,Just wanted to check in and see how you are progressing with your quarterly goals. Happy to chat.,MEDIUM
816,sender216@example.com,Birthday celebration for Sarah,Collecting for birthday gift for Sarah. If you would like to contribute please bring $10 by Thursday.,MEDIUM
817,sender217@example.com,Service plan renewal coming up,Your current service plan renews in 30 days. Would love to discuss your needs and explore options.,MEDIUM
818,sender218@example.com,New benefits package overview,Excited to share details about our updated benefits package. Please review and ask any questions.,MEDIUM
819,sender219@example.com,Question about deployment process,Bit confused about our current deployment workflow. Could you walk me through it when you have time?,MEDIUM
820,sender220@example.com,Feedback on last week presentation,Wanted to share some thoughts on your presentation last week. Overall great job with few areas to polish.,MEDIUM
821,sender221@example.com,Onboarding checklist for new hire,Please complete the onboarding checklist for new team member joining next week. Takes about an hour.,MEDIUM
822,sender222@example.com,Scheduled maintenance visit next week,Our technician will visit your office next Tuesday between 9am and 12pm for annual equipment check.,MEDIUM
823,sender223@example.com,Async update on the feature,Just dropping an async update on the feature I am working on. Making good progress and on track.,MEDIUM
824,sender224@example.com,Training session next week,Mandatory training session on new compliance procedures next Tuesday at 10am. Please confirm attendance.,MEDIUM
825,sender225@example.com,Can you cover my shift,Have a doctor appointment Thursday morning. Is there any chance you could cover the 9am standup?,MEDIUM
826,sender226@example.com,Product demo this week,Would love to show you our new platform features. Available for 45 minute demo this Thursday or Friday?,MEDIUM
827,sender227@example.com,Lunch plans for Friday,A few of us going out for lunch on Friday. Would you like to join us? We are thinking Italian.,MEDIUM
828,sender228@example.com,Team outing next month,Planning a team outing next month. Please fill out the poll to vote for preferred activity and date.,MEDIUM
829,sender229@example.com,Colleague introduction,New to the company and wanted to introduce myself. Would love to grab coffee and learn about your work.,MEDIUM
830,sender230@example.com,Office supplies order needed,Running low on printer paper and coffee pods. Can someone place an order before end of the week?,MEDIUM
831,sender231@example.com,Laptop replacement request,Work laptop running very slowly and crashing occasionally. Can I submit a request for replacement?,MEDIUM
832,sender232@example.com,Budget approval needed,Q4 budget proposal ready for your review and approval. Please sign off by Thursday so we can proceed.,MEDIUM
833,sender233@example.com,Contract review requested,Received new vendor contract that needs legal review before signing. Can your team take a look this week?,MEDIUM
834,sender234@example.com,Content calendar for next month,Drafted content calendar for next month. Can you review and let me know if any changes are needed?,MEDIUM
835,sender235@example.com,Code review requested,Opened a pull request for the new feature. Would appreciate your review when you get a chance. No rush.,MEDIUM
836,sender236@example.com,New lead needs follow up,Warm lead from conference last week. Can someone from the team reach out to them this week?,MEDIUM
837,sender237@example.com,Visitor parking arrangements,Clients visiting on Wednesday. Can you arrange visitor parking passes and inform reception in advance?,MEDIUM
838,sender238@example.com,Policy document for review,Please review attached updated leave policy document and confirm you have read and understood the changes.,MEDIUM
839,sender239@example.com,Sales report for this quarter,Quarterly sales report is ready. Would love to schedule a time to walk you through the highlights.,MEDIUM
840,sender240@example.com,Reminder about team survey,Just a reminder to complete the quarterly employee satisfaction survey before end of this week.,MEDIUM
841,sender241@example.com,Vendor meeting next week,Scheduled a vendor meeting for next Wednesday at 2pm. Please review the vendor proposal beforehand.,MEDIUM
842,sender242@example.com,Update on hiring process,Wanted to give you an update on the hiring process for the senior developer role. Shortlisted 3 candidates.,MEDIUM
